	total_cells	MOI	library_size	total_transfection_events	gt_collisions	estimated_collisions	estimated_collision_rate	gt_collision_rate	percent_estimation_error
44	1000	45	90000	44743	17	45.70017336591991	0.0010213926953025034	0.000379947701316407	168.8245492112936
45	1000	50	10000	48195	178	187.86003647151665	0.003897915478193104	0.003693329183525262	5.53934633231273
46	1000	50	30000	53801	68	89.65524111365085	0.0016664233213815887	0.0012639170275645433	31.845942814192433
47	1000	50	50000	51225	32	63.256036204940756	0.0012348664949720011	0.0006246949731576379	97.67511314043988
48	1000	50	70000	49291	29	52.06574105579057	0.0010562930566592394	0.0005883426994786066	79.53703812341577
49	1000	50	90000	49222	25	50.14958772999671	0.001018844982528071	0.0005079029702165698	100.59835091998683
50	1000	55	10000	55223	232	233.81823147644172	0.004234073329526497	0.0042011480723611536	0.783720463983515
51	1000	55	30000	55079	77	96.44019172633853	0.0017509430404752905	0.0013979919751629477	25.24700224199809
52	1000	55	50000	56674	50	72.20132217525679	0.0012739761120664995	0.0008822387691004693	44.40264435051359
53	1000	55	70000	52354	36	59.39698415631574	0.0011345261900965683	0.000687626542384536	64.9916226564326
54	1000	55	90000	55650	20	57.71230636135442	0.0010370585150288306	0.00035938903863432165	188.5615318067721
55	1000	60	10000	60946	279	292.3686922314373	0.004797176061290934	0.004577822990844354	4.791645961088631
56	1000	60	30000	60005	98	106.90056083944364	0.0017815275533612806	0.0016331972335638697	9.082204938207797
57	1000	60	50000	60960	41	82.94484213100077	0.0013606437357447632	0.0006725721784776903	102.30449300244089
58	1000	60	70000	58770	36	67.5346040702716	0.0011491339811174341	0.0006125574272588055	87.59612241742113
59	1000	60	90000	58603	27	62.93304596404778	0.0010738877867011549	0.0004607272665221917	133.08535542239918
60	1000	65	10000	66653	345	349.9388272937649	0.005250158691938321	0.005176061092523968	1.4315441431202642
61	1000	65	30000	64103	107	120.66946150984586	0.001882430799024162	0.0016691886495171834	12.77519767275313
62	1000	65	50000	65016	56	88.84116421309591	0.001366450784623722	0.0008613264427217916	58.644936094814135
63	1000	65	70000	64421	40	77.4224548361235	0.0012018201337471244	0.0006209155399636764	93.55613709030877
64	1000	65	90000	63996	50	69.52432053265511	0.0010863854074106992	0.0007812988311769486	39.0486410653102
65	1000	70	10000	68923	360	360.89122102898546	0.005236150791883485	0.005223220115201021	0.2475613969404062
66	1000	70	30000	68131	127	133.44131195575756	0.001958599051177255	0.0018640560097459306	5.071899177761849
67	1000	70	50000	70843	78	102.320376654563	0.0014443258565357622	0.0011010262128932993	31.179970069952567
68	1000	70	70000	70774	46	87.39316974987742	0.0012348202694475007	0.0006499561986040071	89.98515163016832
69	1000	70	90000	72257	51	81.16730409968295	0.0011233140609170453	0.0007058139695808018	59.15157666604499
70	1000	75	10000	73238	427	418.9838893895503	0.0057208537834123035	0.005830306671400093	1.8773092764519272
71	1000	75	30000	74597	119	156.38193836002029	0.002096356936070087	0.0015952384144134483	31.413393579848975
72	1000	75	50000	73254	94	111.05051851796452	0.0015159652512895475	0.0012832063778087203	18.13884948719629
73	1000	75	70000	73705	56	89.85110724976403	0.0012190639339225836	0.0007597856319109965	60.44840580315005
74	1000	75	90000	78343	59	92.0644857881125	0.0011751462898805575	0.0007530985537954891	56.04150133578392
75	1000	80	10000	80627	501	491.5680029089708	0.006096816239088281	0.006213799347613082	1.8826341499060193
76	1000	80	30000	81380	182	181.5268386927055	0.0022306075042111758	0.0022364217252396168	0.25997874027172024
77	1000	80	50000	82329	114	137.3766254754737	0.0016686298324463276	0.0013846882629450132	20.505811820590978
78	1000	80	70000	80424	73	107.15446973129292	0.0013323693142755014	0.000907689246990948	46.78694483738756
79	1000	80	90000	76423	49	87.48569172207499	0.001144756051477631	0.000641168234693744	78.54222800423467
80	1000	85	10000	85467	555	564.1120469114103	0.006600349221470395	0.0064937344238126995	1.6418102543081574
81	1000	85	30000	82109	199	185.528647279687	0.0022595409428891717	0.0024236076434982767	6.769523980056788
82	1000	85	50000	85870	130	141.57131806606776	0.0016486702930717102	0.0015139163852334926	8.90101389697519
83	1000	85	70000	87205	90	120.3755326407263	0.0013803742060744947	0.0010320509145117826	33.75059182302923
84	1000	85	90000	87463	60	104.43361478543375	0.0011940319310500868	0.0006860043675611401	74.05602464238957
85	1000	90	10000	88102	625	605.0577208918403	0.006867695635647775	0.007094050078318313	3.1907646573055586
86	1000	90	30000	90447	209	223.24880358982773	0.0024682831226002823	0.0023107455194754938	6.817609373123325
87	1000	90	50000	90297	124	147.42428123948048	0.001632659792013915	0.0013732460657607673	18.8905493866778
88	1000	90	70000	92089	97	128.64328451978508	0.0013969451782491404	0.0010533288449217605	32.62194280390216
89	1000	90	90000	91879	73	116.7588095406536	0.00127078885861463	0.0007945232316416156	59.9435747132241
90	1000	95	10000	94678	704	686.945112254296	0.0072555938259605815	0.007435729525338516	2.42256928206024
91	1000	95	30000	95315	251	244.31249650783138	0.0025632114201104904	0.0026333735508576824	2.664344020784308
92	1000	95	50000	94129	136	160.71936907271447	0.0017074373367688435	0.0014448257178977786	18.17600667111358
93	1000	95	70000	96152	100	137.5384268675407	0.0014304271036228128	0.0010400199683833929	37.5384268675407
94	1000	95	90000	95496	96	122.65784440454445	0.0012844291321578332	0.0010052777079668257	27.768587921400467
95	201000	5	10000	1004455	407	395.32875879714265	0.0003935753804771171	0.000405194856912455	2.867626831168875
96	201000	5	30000	1006795	129	131.78501945722383	0.0001308955839641872	0.00012812936099205896	2.158929811801421
97	201000	5	50000	1006078	58	79.08102580485865	7.860327509880809e-05	5.764960569657621e-05	36.34659621527353
98	201000	5	70000	1006884	47	56.55524073692504	5.616857625796521e-05	4.6678664076497394e-05	20.33029944026604
99	201000	5	90000	1002769	44	43.65999183547683	4.3539431150620764e-05	4.387850043230295e-05	0.7727458284617431
100	201000	10	10000	2007538	1565	1575.4073011209257	0.0007847459431009155	0.0007795618314572377	0.6650032665128197
101	201000	10	30000	2011150	556	526.4801184060052	0.00026178063217860686	0.0002764587425105039	5.309331221941506
102	201000	10	50000	2004137	292	313.51250242604874	0.000156432670234644	0.0001456986223995665	7.3672953513865576
103	201000	10	70000	2004034	224	224.18065660563298	0.00011186469720854685	0.00011177455073117521	0.08065027037186928
104	201000	10	90000	2011381	161	176.02468234696425	8.751434081706263e-05	8.004450673442774e-05	9.332100836623754
105	201000	15	10000	3019762	3590	3561.1151548433118	0.0011792701394491723	0.0011888354115324321	0.8045917870943944
106	201000	15	30000	3020479	1185	1187.9581038551405	0.0003933012293265871	0.000392321880072664	0.24962901731142795
107	201000	15	50000	3011418	706	706.8136284183711	0.00023471123185767338	0.00023444105069439047	0.1152448184661613
108	201000	15	70000	3012126	537	507.0180656737648	0.00016832564961550905	0.00017827939468667645	5.583227993712327
109	201000	15	90000	3017267	372	394.36820765491575	0.00013070378181808762	0.00012329038165995916	6.012959047020367
