
CondaError: Run 'conda init' before 'conda deactivate'

---FILE SRR21787460_1_uniq.hist ---
---LC_EXTRAP---
TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
1490000000.0	129167496.9	128846758.7	129451646.9
1500000000.0	129813033.9	129487618.6	130101370.3
1510000000.0	130456380.2	130126581.7	130749981.2
1520000000.0	131098947.4	130764282.3	131397490.3
1530000000.0	131740954.9	131400771.5	132043908.5
1540000000.0	132382601.9	132036041.0	132689271.1
1550000000.0	133022190.0	132671678.6	133333609.7
1560000000.0	133659443.7	133306402.0	133976889.7
1570000000.0	134295929.1	133936495.8	134619191.8
1580000000.0	134931141.4	134564639.8	135261023.8
1590000000.0	135564548.9	135193690.5	135901813.2
1600000000.0	136197860.0	135821546.8	136541679.8
1610000000.0	136829685.6	136448252.5	137180551.2
1620000000.0	137460459.6	137073848.2	137818436.7
1630000000.0	138089535.5	137694348.5	138455345.7
1640000000.0	138716302.4	138317671.6	139091287.1
1650000000.0	139343531.3	138943653.3	139726263.1
1660000000.0	139970555.2	139564387.8	140358454.9
1670000000.0	140596725.3	140182633.8	140990788.8
1680000000.0	141221985.0	140800858.3	141623377.5
1690000000.0	141845835.4	141419525.4	142256769.9
1700000000.0	142468089.7	142037170.9	142887113.6
1710000000.0	143089358.2	142652490.3	143516527.5
1720000000.0	143709349.9	143266648.1	144144378.4
1730000000.0	144326554.7	143879707.9	144772617.2
1740000000.0	144946576.1	144486898.9	145395773.2
1750000000.0	145563566.9	145095902.2	146021502.4
1760000000.0	146179820.5	145703408.2	146646318.6
1770000000.0	146794707.0	146308971.9	147270224.5
1780000000.0	147407697.5	146913427.9	147891445.8
1790000000.0	148019680.4	147517351.6	148511741.4
1800000000.0	148632202.8	148124244.7	149131140.0
1810000000.0	149243441.6	148730111.9	149749655.9
1820000000.0	149853479.7	149334956.8	150367295.8
1830000000.0	150461784.0	149938785.3	150987408.5
1840000000.0	151070539.8	150541603.3	151605201.8
1850000000.0	151678677.2	151140442.4	152223037.8
1860000000.0	152285804.1	151735387.5	152838672.8
1870000000.0	152891578.6	152329306.7	153452748.3
1880000000.0	153496861.7	152922175.1	154066013.5
1890000000.0	154100430.3	153517055.0	154678475.0
1900000000.0	154704442.9	154108504.5	155291395.8
1910000000.0	155306275.7	154702693.8	155904796.2
1920000000.0	155908060.0	155294370.9	156517420.4
1930000000.0	156508478.3	155883416.4	157129274.0
1940000000.0	157107245.9	156471457.9	157740362.6
1950000000.0	157706790.6	157058848.5	158350691.8
1960000000.0	158304959.4	157646705.4	158960539.5
1970000000.0	158900770.0	158233596.1	159569988.2
1980000000.0	159493997.6	158819525.6	160178739.4
1990000000.0	160089496.1	159404498.9	160786799.2
2000000000.0	160682993.2	159988523.7	161394173.4
2010000000.0	161273807.5	160571644.1	162000867.9
2020000000.0	161867429.3	161153822.9	162606888.5
2030000000.0	162460813.4	161735064.9	163212163.4
2040000000.0	163051650.7	162315374.8	163814184.1
2050000000.0	163642375.5	162894757.1	164418775.8
2060000000.0	164232151.0	163473216.6	165022716.4
2070000000.0	164820059.5	164050757.7	165626011.4
2080000000.0	165405727.0	164626760.9	166228115.0
2090000000.0	165990545.1	165198831.0	166828351.0
2100000000.0	166578607.0	165769942.5	167427920.1
2110000000.0	167166353.5	166340099.6	168026837.2
2120000000.0	167751063.0	166910867.0	168625306.6
2130000000.0	168334449.7	167482402.8	169223797.5
2140000000.0	168917010.0	168053064.9	169821651.0
2150000000.0	169497627.1	168622902.7	170418885.3
2160000000.0	170078398.4	169191836.8	171015084.5
2170000000.0	170659297.0	169758175.3	171609799.0
2180000000.0	171239326.2	170325940.0	172204615.6
2190000000.0	171817149.6	170893076.9	172799824.2
2200000000.0	172394029.8	171458333.7	173394384.8
2210000000.0	172970397.3	172022704.9	173988568.7
2220000000.0	173547693.0	172586194.3	174582083.3
2230000000.0	174122694.4	173148816.9	175175005.6
2240000000.0	174696284.1	173710625.0	175767207.9
2250000000.0	175270448.6	174271563.1	176358464.6
2260000000.0	175843881.9	174831634.7	176948904.1
2270000000.0	176417089.2	175390843.5	177538777.9
2280000000.0	176988969.3	175948607.7	178128090.3
2290000000.0	177557998.3	176505350.6	178716845.4
2300000000.0	178126771.8	177061254.6	179305047.2
2310000000.0	178698394.6	177616323.1	179892699.9
2320000000.0	179268270.2	178170559.7	180479807.3
2330000000.0	179837722.1	178723967.9	181066367.7
2340000000.0	180407390.6	179276551.1	181652222.9
2350000000.0	180976367.5	179828312.7	182235034.1
2360000000.0	181543444.8	180379256.0	182817234.4
2370000000.0	182106922.8	180927163.6	183398849.5
2380000000.0	182669592.9	181476259.2	183982579.8
2390000000.0	183232818.1	182022908.6	184564598.0
2400000000.0	183795695.3	182567556.9	185146208.3
2410000000.0	184358299.8	183111358.3	185729299.9
2420000000.0	184920503.1	183654316.0	186312091.8
2430000000.0	185482022.7	184196433.0	186893967.7
2440000000.0	186042432.4	184737712.4	187474669.7
2450000000.0	186600329.2	185278157.4	188054912.1
2460000000.0	187158138.3	185817770.9	188634651.0
2470000000.0	187716325.0	186356555.9	189213889.7
2480000000.0	188273250.1	186894515.5	189792631.6
2490000000.0	188829661.0	187431652.6	190370879.7
2500000000.0	189385395.5	187967970.1	190949342.1
2510000000.0	189940456.4	188503470.9	191528035.7
2520000000.0	190494424.9	189038158.0	192106252.1
2530000000.0	191047239.2	189572034.1	192683994.5
2540000000.0	191600541.4	190105102.2	193261265.7
2550000000.0	192154193.2	190637365.0	193838068.7
2560000000.0	192707818.7	191168825.4	194414400.0
2570000000.0	193261100.6	191699486.0	194990258.5
2580000000.0	193812186.5	192229349.7	195565079.5
2590000000.0	194362206.7	192758419.2	196126840.8
