dataset	cell_type	obs_%zero	NB_pred_%zero	ZINB_pred_%zero	excess_pp	zinb_shift_pp	mean_pi	mean_mu_NB	mean_mu_ZINB	mu_shift	theta_NB	theta_ZINB
Shendure (CM)	Cardiomyocytes	74.43321496858782	99.98805277420881	99.98541062747151	-25.55483780562099	-0.002642146737301232	0.5025037055214246	0.0024029337094661355	0.005722996775590927	0.0033200630661247912	0.00030933573725633323	0.0007506886031478643
Shendure (CM)	EpiblastPrimitiveStreak	81.0125705098887	99.98044237545403	99.97767920636579	-18.96787186556533	-0.002763169088240147	0.5577854588627815	0.0066188105204503245	0.016386717151660308	0.009767906631209983	0.00031780265271663666	0.0008074324578046799
Shendure (CM)	ExEndodermParietal	82.40122184419003	99.98366073739463	99.98042318983657	-17.582438893204596	-0.0032375475580579405	0.5578488484025002	0.001759668645232838	0.004670009744380912	0.002910341099148074	0.0002047720190603286	0.0005506754387170076
Shendure (CM)	ExEndodermVisceral	82.90131592711144	99.98893478050186	99.9855921750693	-17.087618853390424	-0.0033426054325644827	0.5237471635142962	0.0025044848766603203	0.006685709382561702	0.004181224505901381	0.0002509405021555722	0.000678056210745126
Shendure (CM)	Haematoendothelial	77.79758367993662	99.98512424160292	99.9840167720278	-22.187540561666296	-0.0011074695751176478	0.5613297472397486	0.003869524103783999	0.009086192327342903	0.005216668223558904	0.00034759074333123863	0.0008350086282007396
Shendure (CM)	Mesoderm	86.84856100041884	99.98944640708783	99.98845258651708	-13.140885406668986	-0.0009938205707413772	0.5092406744758288	0.0015015098863135389	0.003250494024681617	0.0017489841383680781	0.0003310908214189112	0.0007215936202555895
Shendure (CM)	NeuroectodermBrain	86.44780720392392	99.98921764665221	99.98812707406046	-13.541410442728292	-0.0010905725917496056	0.5509874473015467	0.0020759358305496153	0.004951210543606084	0.0028752747130564686	0.00033949012868106365	0.0008151376387104392
Shendure (CM)	NeuroectodermRostral	79.29051799373684	99.98831699195982	99.98886003830887	-20.69779899822298	0.0005430463490512238	0.5680083384116491	0.0008746260618560397	0.001882279887994925	0.0010076538261388852	0.00039337773341685534	0.000853311677929014
Shendure (CM)	SurfaceEctoderm	86.16321907911009	99.99088961066201	99.99085058190579	-13.827670531551917	-3.9028756219749994e-05	0.5823683440685272	0.001306475144209921	0.0030664727390960532	0.0017599975948861322	0.0003565141814760864	0.0008407984278164804
Shendure (CM)	reference	81.32750548338113	99.97729701946365	99.97537852122201	-18.649791536082517	-0.0019184982416362573	0.5462996835509936	0.005581101937641856	0.012842553691440956	0.0072614517537991	0.00028367055347189307	0.0006695708143524826
Takeshi (obs)	K562	98.64563085912292	98.20403640740393	98.20532844404725	0.44159445171898426	0.001292036643320671	0.009290198795497417	0.03793128193856394	0.03823254481034954	0.00030126287178559863	0.023678595200181007	0.023915719240903854
Takeshi (obs)	SKNSH	99.09666816250649	98.52042787640258	98.52340148554187	0.5762402861039106	0.002973609139289124	0.0086295697838068	0.034387290270321745	0.03460756917378272	0.000220278903460977	0.02504517138004303	0.02522731013596058
Takeshi (obs)	reference	95.72721676280808	94.1024578429833	94.08805052481505	1.6247589198247852	-0.014407318168252914	0.006974328309297562	0.1438077909359396	0.1453570411259296	0.001549250189989998	0.0605829581618309	0.061081934720277786
Takeshi (CM)	K562	98.64563085912292	99.9945314970417	99.9947904921426	-1.3489006379187884	0.00025899510089288924	0.010013784281909466	0.00010746831246857861	9.41248324852495e-05	-1.3343479983329108e-05	8.798990893410519e-05	8.795828762231395e-05
Takeshi (CM)	SKNSH	99.09666816250649	99.99544549059362	99.99580840440035	-0.8987773280871352	0.00036291380672537343	0.010014960542321205	9.675803415120753e-05	7.384279996131227e-05	-2.2915234189895266e-05	0.00010696874232962728	0.00010619371460052207
Takeshi (CM)	reference	95.72721676280808	99.96710261782857	99.9683450168069	-4.239885855020489	0.001242398978320125	0.010005929507315159	0.0008008012445255493	0.000737136870448012	-6.366437407753734e-05	0.000316240475513041	0.0003190939605701715
