replicate	auroc	auprc	test	gt_draw
1	0.8340485074626867	0.7878366685343092	pseudobulk	4
2	0.8813447293447293	0.8115122683378986	pseudobulk	4
3	0.8586666666666668	0.8302252306243942	pseudobulk	4
4	0.8588221762134807	0.7892500468198757	pseudobulk	4
0	0.9191963260619977	0.9007702506990009	ttest	4
1	0.8662179755428466	0.8435140768224032	ttest	4
2	0.9010142450142449	0.8812238291318162	ttest	4
3	0.8784729344729345	0.8745088935122254	ttest	4
4	0.9038413026029125	0.8895397418695611	ttest	4
0	0.8894690429778148	0.8683325527145391	wald_auto	4
1	0.5837014344067636	0.4500335408213698	wald_auto	4
2	0.5950172215843857	0.37317301655710206	wald_auto	4
3	0.5897281665702718	0.3829933379081727	wald_auto	4
4	0.649045318610536	0.41011506455979896	wald_auto	4
